date,price,kind,fertilizer,pesticide,machine,smartfarm
2020-04-06,3345.172414,6855,11610,8500,2329,4337
2020-04-09,3278.482759,7010,11705,8940,2155,4316
2020-04-13,3321.034483,7242.5,11675,8490,1967.5,4052
2020-04-16,3265.862069,7705,12975,9410,2096.5,4856.5
2020-04-20,3260.344828,7830,13220,9615,2125,4922.5
2020-04-23,3247.103448,7855,12930,9675,2072.5,4850.5
2020-04-27,3261.153846,7632.5,12310,9310,2062.5,4971
2020-05-04,3326.296296,7410,12250,9530,2025,4987.5
2020-05-07,3499.172414,7442.5,12590,9740,2075,5052.5
2020-05-11,3807.931034,7395,12175,9500,2092.5,5595
2020-05-14,3692.758621,7247.5,11830,9115,2020.5,7010
2020-05-18,3678.275862,7375,11775,8970,1984.5,7297.5
2020-05-21,3659.655172,7690,12045,9215,2082.5,7445
2020-05-25,3718.571429,7470,11865,9110,2042.5,7572.5
2020-06-01,3739.411765,7847.5,12225,9345,2062.5,7915
2020-06-04,3408.214286,8100,12615,9470,2147.5,7952.5
2020-06-08,3320.357143,8172.5,12325,9440,2187.5,7967.5
2020-06-09,3490,8035,12080,9255,2235,8000
2020-06-11,3427.083333,7867.5,11975,9065,2120,8142.5
2020-06-15,3517.2,7125,10485,8175,1957,7283.5
2020-06-18,3308.461538,7495,10935,8720,2001.5,7350
2020-06-22,3350.344828,7452.5,11050,8730,1991,7215
2020-06-25,3270,7507.5,11185,8810,1950.5,7957.5
2020-07-02,3322.962963,7615,12750,9360,1945.5,8525
2020-07-06,3349.310345,7860,14700,9850,1968.5,8907.5
2020-07-09,3379.310345,7645,14615,9570,1962.5,8792.5
2020-07-13,3432.592593,7655,14295,9390,1975,8920
2020-07-16,3514.137931,7527.5,14580,9355,1987.5,9155
2020-07-20,3656.428571,7547.5,14575,9480,1950,9505
2020-07-23,3916.296296,7775,15355,9850,1952.5,8415
2020-07-27,4227.037037,8275,17290,10365,1990,8120
2020-08-03,4328.148148,8290,15930,10415,2027.5,7745
2020-08-06,4253.333333,8640,17090,11590,2170,7790
2020-08-10,4519.107143,8615,17685,12600,2197.5,8802.5
2020-08-13,5046,8425,16780,11950,2172.5,9765
2020-09-17,7165.172414,7795,15405,10360,2402.5,11250
2020-09-21,7135.172414,8045,15410,10470,2472.5,10995
2020-09-24,7267.777778,7382.5,13895,9400,2340,10182.5
2020-10-05,7664.482759,7647.5,14460,9655,2685,10987.5
2020-10-08,7723.333333,7700,14365,9640,2627.5,11970
2020-10-12,6709.285714,7785,14795,9865,2557.5,12295
2020-10-13,6480,7755,14530,9735,2482.5,12772.5
2020-10-15,6389.310345,7587.5,14200,9590,2487.5,12712.5
2020-10-19,4802.068966,7505,13665,9350,2415,12305
2020-10-22,4757.931034,7445,13145,9110,2407.5,13080
2020-10-26,3954.285714,7272.5,12575,8820,2330,7277.5
